X	ENSMUSG00000057666	ENSMUSG00000053093
10x10	5	11
10x11	0	4
10x12	1	5
10x13	0	7
10x14	0	0
10x15	0	8
10x16	0	11
10x17	5	10
10x18	0	16
10x19	3	15
10x2	3	13
10x20	0	3
10x21	2	8
10x22	2	16
10x23	1	12
10x24	0	0
10x25	0	1
10x26	0	5
10x27	3	5
10x28	0	3
10x29	0	0
10x3	1	15
10x30	0	1
10x31	0	0
10x32	0	0
10x33	0	0
10x34	0	0
10x4	4	14
10x5	1	6
10x6	4	20
10x7	1	19
10x8	0	11
10x9	2	7
11x10	4	4
11x11	0	10
11x12	2	11
11x13	0	5
11x14	0	1
11x15	2	2
11x16	1	3
11x17	0	12
11x18	2	15
11x19	1	12
11x2	1	10
11x20	1	2
11x21	2	20
11x22	2	19
11x23	2	5
11x24	0	0
11x25	0	7
11x26	0	5
11x27	0	3
11x28	0	0
11x29	0	2
11x3	2	11
11x30	0	3
11x31	0	2
11x32	0	4
11x33	0	2
11x34	0	0
11x4	3	7
11x5	2	17
11x6	1	13
11x7	2	13
11x8	1	4
11x9	2	5
12x10	1	11
12x11	1	7
12x12	0	16
12x13	1	10
12x14	1	7
12x15	6	11
12x16	0	5
12x17	0	16
12x18	2	13
12x19	2	8
12x2	5	17
12x20	2	18
12x21	1	8
12x22	1	6
12x23	2	19
12x24	0	0
12x25	1	1
12x26	0	0
12x27	0	2
12x28	2	1
12x29	0	1
12x3	5	16
12x30	2	6
12x31	0	0
12x32	0	1
12x33	0	0
12x34	0	1
12x4	3	12
12x5	0	7
12x6	7	25
12x7	2	10
12x8	0	8
12x9	0	11
13x10	0	10
13x11	1	8
13x12	1	5
13x13	2	10
13x14	1	9
13x15	2	16
13x16	3	5
13x17	3	18
13x18	0	5
13x19	2	10
13x2	4	36
13x20	0	7
13x21	3	8
13x22	0	4
13x23	2	18
13x24	1	3
13x25	0	3
13x26	0	3
13x27	0	1
13x28	0	3
13x29	0	2
13x3	2	17
13x30	0	0
13x31	0	0
13x32	0	2
13x33	0	1
13x34	0	0
13x4	1	13
13x5	2	9
13x6	1	9
13x7	3	26
13x8	3	22
13x9	3	7
14x10	1	7
14x11	0	10
14x12	0	19
14x13	1	12
14x14	1	8
14x15	2	9
14x16	1	12
14x17	5	15
14x18	3	12
14x19	0	4
14x2	0	21
14x20	3	15
14x21	0	9
14x22	1	7
14x23	4	12
14x24	2	12
14x25	1	4
14x26	1	2
14x27	1	0
14x28	0	1
14x29	0	2
14x3	4	10
14x30	0	8
14x31	0	2
14x32	0	0
14x33	0	1
14x34	0	1
14x4	3	27
14x5	4	31
14x6	0	17
14x7	2	4
14x8	0	7
14x9	0	8
15x10	1	4
15x11	3	15
15x12	1	5
15x13	1	5
15x14	4	17
15x15	0	8
15x16	0	7
15x17	2	11
15x18	0	9
15x19	1	11
15x2	3	36
15x20	1	17
15x21	2	10
15x22	2	7
15x23	1	8
15x24	5	24
